location_id,trip_id,start_time,description,address
9786,35576,2026-06-05 22:30:00,Local market visit,"127 Anderson Court, North Rebecca, NE 23111"
2845,4112,2025-08-28 15:30:00,Мастер-класс по кулинарии,"62856 Edward Landing, New Kenneth, KS 75714"
4976,3745,2027-04-20 09:30:00,City walk,"29691 Lewis Orchard Suite 879, East Austinfurt, WY 34056"
6845,30656,2026-11-03 06:00:00,Концерт под открытым небом,"1161 Ashley Vista, Johnfort, AS 48648"
9423,19767,2027-02-21 01:30:00,Катание на лодке,"9759 Casey Plains, Morganmouth, ME 42076"
1760,5283,2025-05-10 07:15:00,Mountain hike,"475 Allison Island, Galvanburgh, MH 56496"
8050,48757,2026-06-22 09:30:00,Горный поход,"47752 Larry Throughway Apt. 915, Rebeccaton, VA 77981"
6827,15692,2026-11-02 08:00:00,Пешая прогулка,"453 Acosta Crescent Apt. 341, West Jodybury, MN 05245"
5143,288,2027-12-22 23:30:00,Boat ride,"537 Scott Fords, East Melissatown, ME 35277"
7172,6089,2025-09-11 22:45:00,Sightseeing tour,"292 Joanne Prairie, South Angela, PR 64476"
8030,7067,2025-04-19 19:30:00,Open air concert,"USNV Rodriguez, FPO AA 12781"
3080,12321,2025-08-07 23:30:00,Посещение рынка,"0944 Sosa Vista, Jordanmouth, ID 15855"
34,7340,2025-12-13 23:00:00,Горный поход,"536 Ryan Parkway, West Steven, AL 25068"
8935,41409,2025-06-17 13:00:00,Open air concert,"49955 Mosley Garden, Perezview, AL 24922"
3245,6212,2026-12-09 05:00:00,Обзорная экскурсия,"482 Smith Parks, Marthaside, VI 40840"
5079,31777,2026-05-04 01:45:00,Open air concert,"4303 Jackson Valleys Apt. 456, Matthewton, PW 63426"
3823,17334,2027-10-23 02:00:00,Мастер-класс по кулинарии,"955 Hobbs Coves Apt. 957, Port Krystalville, MP 81917"
1531,17142,2026-08-27 17:45:00,Museum visit,"852 Wilson Cliff Suite 295, South Kristachester, AL 01764"
3323,31882,2025-11-07 02:00:00,Концерт под открытым небом,"03589 Garcia Street Suite 254, North Jenniferfurt, IL 93504"
17,2534,2026-06-07 20:30:00,Горный поход,"56730 Bray Brooks, North Anneport, VA 00611"
7592,49314,2027-01-03 05:45:00,Sunset photography,"PSC 4589, Box 0786, APO AA 45994"
401,30964,2026-08-22 01:45:00,Горный поход,"68134 Gibson Plaza Suite 766, South Emily, NY 72501"
3854,47629,2027-05-16 04:30:00,Sightseeing tour,"3167 Benjamin Land, Thomasfurt, UT 70007"
3443,28966,2027-04-18 20:45:00,Посещение рынка,"1969 Frank Forest, Ibarraview, AL 39331"
8568,2736,2025-12-19 14:15:00,Boat ride,"75923 Scott Land Suite 835, Georgechester, DE 31554"
2224,11210,2026-11-22 17:45:00,City walk,"504 Karen Pass Suite 076, Richardstad, IA 57704"
2630,21624,2025-12-31 02:30:00,Museum visit,"USCGC Alexander, FPO AP 63541"
3115,21300,2025-08-09 18:15:00,Пешая прогулка,"2885 Jeremy Hollow, Lake Lorichester, AL 28390"
8704,46574,2026-06-28 15:30:00,Пешая прогулка,"Unit 2753 Box 6460, DPO AA 65505"
1616,15544,2025-07-12 05:45:00,Посещение рынка,"30796 Lee Port, Williamsland, MD 65289"
8670,3462,2026-05-16 02:30:00,Обзорная экскурсия,"755 Tucker Haven Suite 204, New Sydneyville, MO 95610"
79,41374,2025-05-05 15:45:00,Sightseeing tour,"09705 Robert Parks, Bauerfort, PA 22968"
4642,42359,2027-01-23 15:45:00,Пешая прогулка,"12411 Sanchez Keys, Amandamouth, MO 34201"
9758,7519,2026-01-25 10:45:00,Мастер-класс по кулинарии,"5512 Michelle Garden Suite 772, Maldonadotown, IN 19413"
989,18945,2025-01-16 07:30:00,Посещение музея,"703 Benjamin Fields Apt. 065, North Holly, NE 64163"
848,15624,2026-05-18 11:45:00,Посещение рынка,"87067 Sherri Spring, Taylorchester, GU 42441"
7995,48722,2025-03-06 23:00:00,Sightseeing tour,"Unit 2583 Box 0445, DPO AP 53585"
9301,8554,2027-05-15 06:30:00,Sightseeing tour,"USCGC Adams, FPO AE 93421"
2825,19186,2025-09-21 12:45:00,Пешая прогулка,"28346 Jason Cliffs, Port Bryan, AZ 79297"
4172,10043,2026-08-07 05:30:00,City walk,"PSC 9497, Box 1492, APO AP 78333"
6697,27659,2026-01-04 13:30:00,Мастер-класс по кулинарии,"28153 Nathan Haven, Port Margaretville, MH 02644"
4676,3175,2025-11-21 08:00:00,Mountain hike,"4019 Justin Flat Apt. 332, Port Davidmouth, OR 61076"
1598,10049,2027-05-13 00:45:00,Мастер-класс по кулинарии,"54025 James Harbor, North Jennifertown, OR 94586"
6667,22869,2027-11-10 23:00:00,Катание на лодке,"PSC 5148, Box 9807, APO AE 77724"
5605,11492,2026-02-19 01:45:00,Концерт под открытым небом,"85840 Jason Fall, Alyssafurt, IA 24053"
1201,35730,2025-12-07 14:30:00,Open air concert,"3519 Carroll Track, West Jessicaberg, MP 28951"
7005,13954,2027-08-29 13:00:00,Sunset photography,"977 Oconnor Club, Taylorburgh, MH 04033"
9144,22938,2027-06-25 22:30:00,Мастер-класс по кулинарии,"19267 Justin Way Suite 726, West Kyleshire, NH 89122"
392,5363,2027-06-06 21:30:00,Cooking class,"460 Baker Forge Apt. 000, South Loriside, SC 30219"
555,38801,2026-08-11 23:45:00,Boat ride,"6315 Lee Gardens, Connorhaven, UT 30872"
2373,46356,2025-02-07 23:30:00,Boat ride,"0318 Kelly Roads, Davidfurt, AL 23084"
