trip_id,amount,category
23558,274.05,Ski Pass
10549,184.12,Entertainment
25517,380.05,Guide Services
34028,43.07,Visa
25453,255.84,Medical
4309,6928.51,Transport
22154,68.73,Museum Tickets
21659,95.22,Visa
36112,103.95,Food
28435,167.34,Food
23377,67.46,Visa
5578,67.41,Food
32194,153.51,Insurance
26361,379.23,Entertainment
31317,25.24,Food
2785,97.79,Museum Tickets
42184,110.98,Souvenirs
49155,327.73,Shopping
32444,1428.83,Accommodation
23633,91.88,Souvenirs
35841,718.7,Shopping
18998,160.33,Entertainment
22485,44.39,Food
22324,265.07,Ski Pass
36823,193.62,Visa
18488,38.6,Visa
34355,83.77,Museum Tickets
27723,61.87,Shopping
47384,198.52,Medical
17249,6.39,Food
32262,64.14,Ski Pass
18551,139.6,Souvenirs
16309,622.67,Accommodation
44312,1883.19,Accommodation
19045,76.45,Entertainment
37190,74.96,Souvenirs
5534,257.04,Souvenirs
29797,40.84,Museum Tickets
23898,610.64,Accommodation
31165,128.45,Medical
18944,112.11,Guide Services
1466,98.33,Ski Pass
13942,464.16,Medical
10704,13.32,Museum Tickets
16538,54.9,Museum Tickets
27859,2337.01,Transport
34080,118.12,Visa
6337,130.23,Visa
33800,42.79,Visa
41179,372.98,Accommodation
35153,247.31,Medical
7892,355.48,Guide Services
1702,375.53,Ski Pass
20408,467.52,Medical
36746,92.4,Museum Tickets
15450,348.08,Ski Pass
19293,101.21,Guide Services
45052,158.94,Insurance
13450,436.39,Entertainment
9276,225.11,Entertainment
3064,162.33,Visa
40331,495.24,Entertainment
16633,13.1,Museum Tickets
39898,364.28,Entertainment
7602,12698.7,Transport
29102,261.23,Guide Services
5932,49.62,Souvenirs
734,167.96,Souvenirs
21315,686.3,Transport
37734,354.52,Ski Pass
9163,514.43,Medical
34672,675.11,Medical
34853,147.58,Visa
24789,44.77,Museum Tickets
404,279.59,Insurance
17915,314.02,Medical
12267,180.59,Entertainment
19920,97.17,Souvenirs
44749,33.2,Ski Pass
7369,62.68,Visa
333,123.5,Entertainment
21000,68.53,Museum Tickets
43625,222.53,Entertainment
1436,165.91,Food
37484,244.26,Souvenirs
1667,49.95,Visa
6755,63.85,Souvenirs
42453,200.4,Guide Services
44441,223.88,Entertainment
31077,112.18,Visa
29469,90.52,Museum Tickets
33779,516.4,Medical
22632,396.04,Guide Services
2154,626.79,Shopping
12151,23.09,Insurance
42121,209.91,Guide Services
37707,919.33,Transport
27482,115.09,Insurance
25335,183.96,Food
28502,201.4,Entertainment
43784,82.6,Insurance
20029,164.88,Souvenirs
172,11524.41,Transport
40556,325.15,Entertainment
30192,164.34,Food
4107,166.94,Visa
7390,261.59,Souvenirs
31153,526.98,Medical
35190,450.13,Entertainment
32819,8248.34,Transport
47097,356.23,Medical
35953,25.75,Museum Tickets
43822,8.36,Museum Tickets
8258,492.57,Medical
18929,47.37,Museum Tickets
26399,9.79,Museum Tickets
2282,592.94,Transport
34067,84.41,Visa
38406,483.53,Entertainment
44448,57.93,Souvenirs
42943,137.59,Entertainment
36917,898.11,Shopping
26242,201.08,Entertainment
12935,715.07,Transport
18067,35.22,Museum Tickets
834,35.15,Souvenirs
30976,247.06,Shopping
11033,249.11,Medical
44735,51.64,Museum Tickets
5123,297.39,Guide Services
48748,53.73,Entertainment
37906,249.23,Insurance
47828,1716.97,Accommodation
27861,63.75,Food
48576,30.9,Museum Tickets
22609,339.39,Guide Services
41148,194.57,Visa
20274,260.47,Ski Pass
1332,478.24,Guide Services
33918,54.56,Visa
31707,485.36,Shopping
8055,233.92,Insurance
30603,408.38,Shopping
30142,66.62,Ski Pass
37970,191.04,Guide Services
18953,155.18,Ski Pass
14171,261.24,Insurance
38196,97.47,Food
19755,114.49,Souvenirs
39408,457.63,Guide Services
16578,126.42,Food
47245,751.71,Medical
18832,4289.52,Transport
6147,216.47,Souvenirs
6141,210.29,Souvenirs
43967,389.39,Guide Services
1256,221.38,Ski Pass
18346,11788.08,Transport
49351,1625.9,Accommodation
11566,51.8,Entertainment
49289,154.61,Medical
28934,75.64,Museum Tickets
17635,26.62,Museum Tickets
28891,14621.28,Transport
20928,224.46,Entertainment
9388,6575.67,Transport
43506,305.18,Medical
9521,8888.66,Transport
33490,212.57,Insurance
8987,83.6,Souvenirs
34195,1572.63,Accommodation
