name,title,coords
Park of Williamsburgh,Nature Reserve,"-56.6072, -168.6198"
Bridge of North Russell,Public Park,"24.9446, -147.6907"
Square of Melaniestad,Музей,"7.0158, 34.3951"
Музей г. Тында,Beach,"-57.6888, 7.2775"
Square of Millerberg,Достопримечательность,"43.1584, -23.3694"
Castle of North Tonya,Пляж,"-31.2021, 56.8813"
Bridge of North Todd,Исторический район,"-62.7522, -152.6726"
Museum of Moorechester,Парк,"-22.6027, 154.7115"
Square of Port Harold,Пляж,"63.1219, 99.9249"
Square of Theodoreton,Nature Reserve,"46.3209, -10.4691"
Lake of East Rebecca,Исторический район,"43.6882, -46.1034"
Castle of North Loganstad,Храм,"-16.4677, 104.0795"
Square of Phamstad,Famous Intersection,"56.6469, -25.7783"
Lake of Marilynchester,Museum,"7.4874, -71.5153"
Bridge of Lake Timothy,Historic Site,"22.888, -112.5802"
Гора ст. Сусуман,Historic Site,"12.2997, 157.0034"
Озеро к. Тавда,Музей,"-58.3507, 41.7379"
Museum of Mullinsshire,Парк,"-65.7142, 107.4402"
Square of East Jasonhaven,Пляж,"48.955, -152.4328"
Castle of Susantown,Парк,"-68.1166, -100.6283"
Park of Lake Wesleyburgh,Famous Intersection,"-54.6946, 27.6184"
Замок п. Кижи,Landmark,"26.151, -111.5912"
Square of Michaelmouth,Исторический район,"31.4648, 152.8406"
Lake of Raymondchester,Nature Reserve,"-28.5593, -11.9037"
Замок с. Крымск,Достопримечательность,"35.3222, 11.3183"
Замок клх Мостовской,Beach,"39.9253, 134.0938"
Castle of Johnsonborough,Пляж,"8.6285, 164.7477"
Square of New Anthonyborough,Public Park,"16.6621, 28.8439"
Площадь п. Бугульма,Famous Intersection,"-50.3692, 55.7637"
Музей с. Кизел,Музей,"-43.3994, 52.3061"
Музей г. Холмск,Beach,"61.752, 39.8741"
Площадь клх Бронницы,Парк,"64.351, -122.6383"
Square of New Andrewfort,Пляж,"-61.6672, -16.5855"
Парк п. Далматово,Historic Site,"58.6366, 47.8777"
Castle of West Jacobborough,Храм,"-40.4035, 25.8596"
Замок ст. Гатчина,Nature Reserve,"55.0763, -95.6174"
Гора с. Лагань,Nature Reserve,"63.3034, -94.7677"
Lake of Andreastad,Beach,"45.1978, -88.4055"
Bridge of Lake Derekbury,Пляж,"32.0238, -52.1794"
Lake of South Brandon,Mountain Peak,"63.8517, 32.5428"
Lake of South Robertshire,Горнолыжный курорт,"46.0629, -95.0767"
Bridge of Johnport,Historic Site,"26.2138, 123.4665"
Lake of West Brandon,Beach,"-16.4647, -106.4965"
Museum of Stacyton,Природный объект,"28.3025, -150.0245"
Castle of Port Raymondbury,Храм,"-69.8288, -61.8782"
Музей клх Киров (Вятка),Mountain Peak,"-37.9381, -136.7509"
Парк к. Мирный,Музей,"-29.2063, 9.7637"
Lake of Jenniferport,Public Park,"-56.7528, 106.5062"
Парк к. Оленегорск (Якут.),Исторический район,"-29.0575, -78.9993"
Площадь клх Избербаш,Mountain Peak,"22.8868, -115.765"
Bridge of Port Kennethland,Famous Intersection,"45.1198, -9.3271"
Замок д. Яшалта,Famous Intersection,"-8.388, 99.9276"
Музей клх Апатиты,Beach,"-63.594, -101.9676"
Площадь клх Аша,Nature Reserve,"-2.4557, 163.5557"
Замок с. Новочеркасск,Исторический район,"9.3573, -132.7107"
Square of South Brad,Природный объект,"26.7856, 122.9012"
Lake of East Allison,Nature Reserve,"13.0049, 70.6779"
Музей к. Одинцово,Famous Intersection,"19.4878, -134.1187"
Озеро д. Сусуман,Горнолыжный курорт,"1.6196, 156.6299"
Гора п. Смирных,Исторический район,"47.0656, -67.7243"
Square of Floreshaven,Достопримечательность,"-58.3774, -158.4968"
Замок клх Александровск-Сахалинский,Historic Site,"-37.4395, -76.6335"
Площадь д. Курчатов,Historic Site,"40.0971, 76.754"
Square of Port Hannahmouth,Nature Reserve,"7.7332, -159.9424"
Castle of Tinahaven,Landmark,"42.3699, -101.9969"
Озеро к. Астрахань,Горнолыжный курорт,"3.2268, -148.7306"
Square of Jameston,Landmark,"39.5503, 33.836"
Lake of West Cheryl,Природный объект,"-33.2905, 118.0422"
Square of Amandaside,Public Park,"-1.4287, -40.1725"
Park of South Deborah,Исторический район,"51.8852, 63.6485"
Square of Lake Michaelborough,Природный объект,"15.7876, -95.6833"
Castle of Patrickstad,Museum,"58.4525, -37.1584"
Парк д. Токсово,Famous Intersection,"20.7051, -69.0725"
Парк д. Дно,Достопримечательность,"-60.7814, -64.4572"
Парк к. Баксан,Historic Site,"-62.3878, -105.9319"
Парк п. Троицк (Челяб.),Public Park,"-53.5486, 98.6431"
Park of New Joelside,Beach,"-10.0942, -161.4291"
Museum of South John,Historic Site,"-35.2218, 67.6868"
Bridge of Angelaberg,Парк,"9.727, -12.7072"
Castle of West Kevinshire,Beach,"-17.9548, 114.6445"
Парк п. Пушкинские Горы,Historic Site,"21.8854, 64.5003"
Castle of Port Jillberg,Пляж,"-25.3157, -99.7707"
Гора клх Тарко-Сале,Достопримечательность,"-55.3527, 80.0649"
Lake of Lake Joshuaborough,Museum,"40.8157, 165.0622"
Музей п. Березники,Nature Reserve,"-15.1907, 169.4153"
Озеро п. Южно-Курильск,Beach,"20.2738, -113.8709"
Park of Ryantown,Музей,"-65.7051, 167.6389"
Lake of New Barbara,Горнолыжный курорт,"-23.714, -12.6277"
Lake of Brianamouth,Nature Reserve,"59.9524, 48.1269"
Площадь клх Серов,Достопримечательность,"58.3942, 149.8007"
Площадь с. Медногорск,Nature Reserve,"-24.7357, 132.8905"
Square of Lake Devinview,Достопримечательность,"-24.3296, 41.0825"
Park of Port Jack,Пляж,"-25.1624, -142.6288"
Park of Tinaburgh,Public Park,"43.9305, -19.0928"
Park of West Aaronfurt,Горнолыжный курорт,"-34.3155, 58.2456"
Museum of Thompsonmouth,Музей,"35.2004, -32.6866"
Park of North Brandon,Museum,"-58.9208, -31.6756"
Озеро с. Верхний Баскунчак,Горнолыжный курорт,"5.3208, 78.4549"
Музей клх Кондопога,Музей,"-20.6224, -148.2277"
Площадь п. Ярославль,Public Park,"-6.8514, 102.0137"
Замок ст. Сыктывкар,Nature Reserve,"8.544, 146.0531"
Музей г. Туруханск,Famous Intersection,"53.263, 112.6931"
Park of Washingtonland,Музей,"-42.0061, 161.1326"
Park of Margarettown,Public Park,"41.5629, 136.0669"
Гора д. Урус-Мартан,Beach,"23.3228, 26.4801"
Museum of West Tony,Famous Intersection,"55.1651, -115.5388"
Park of East Amy,Public Park,"-19.8519, -46.7266"
Bridge of Juliaberg,Природный объект,"-24.3499, -128.3684"
Castle of Port Derrickfort,Museum,"-4.3059, -97.7608"
Lake of Port Timothy,Famous Intersection,"44.9912, 143.5924"
Замок д. Псков,Горнолыжный курорт,"-7.4481, -60.3933"
Park of Carolburgh,Historic Site,"68.5775, -154.732"
Bridge of West Bryan,Парк,"-54.3022, 54.6344"
Castle of New Joseph,Горнолыжный курорт,"34.4294, -32.1163"
Гора к. Каменномостский,Historic Site,"52.6705, 22.1548"
Park of East Lisa,Исторический район,"-9.7386, 101.7711"
Гора г. Губкин,Landmark,"42.1402, 10.0401"
Museum of Davidport,Музей,"-15.407, -84.4682"
Bridge of Pachecoport,Museum,"63.7636, 143.4773"
Музей с. Темрюк,Храм,"-57.2036, -108.3242"
Park of South Debraland,Historic Site,"-22.8954, -55.8577"
Bridge of West Taylortown,Пляж,"-21.69, -83.8609"
Музей ст. Зеленоград,Пляж,"-20.0561, 79.217"
Park of Port Josephland,Public Park,"5.5796, -60.8881"
Парк д. Старый Оскол,Beach,"-33.0562, 116.5239"
Музей к. Игнашино,Museum,"-10.5248, -146.8859"
Замок ст. Дубна,Mountain Peak,"-35.9568, -31.2938"
Museum of Clarkside,Museum,"-3.0205, 73.8183"
Square of Kevinland,Достопримечательность,"-53.7351, 35.0437"
Bridge of New Joel,Famous Intersection,"-65.2194, -145.6092"
Парк ст. Обоянь,Mountain Peak,"-56.1587, 78.6071"
Bridge of Limouth,Nature Reserve,"-13.8267, -96.8233"
Bridge of East Scottport,Mountain Peak,"-56.0511, -124.215"
Озеро с. Холмогоры,Historic Site,"-23.3131, 169.4293"
Гора п. Бугульма,Mountain Peak,"-3.9784, -143.8165"
Площадь к. Кировск (Мурм.),Famous Intersection,"-24.3082, 6.2254"
Lake of South Tamaraside,Mountain Peak,"-48.0347, 7.4576"
Lake of Port Jenniferton,Nature Reserve,"54.9735, -117.2195"
Castle of Port Claudiahaven,Museum,"-26.7743, -44.2319"
Park of West Michaelport,Museum,"41.0969, -150.6746"
Park of New Samuelfurt,Historic Site,"36.1877, -1.4359"
Озеро с. Зарайск,Mountain Peak,"1.5639, -109.212"
Square of East Robert,Исторический район,"65.3847, 50.0427"
Площадь г. Каменномостский,Museum,"-56.1206, -129.5693"
Площадь д. Цимлянск,Public Park,"40.5559, -83.96"
Museum of West Adrianberg,Beach,"66.2599, -85.8676"
Castle of Cameronchester,Famous Intersection,"-54.8444, -137.6291"
Museum of Port Collinstad,Historic Site,"59.581, 61.4419"
Озеро д. Руза,Исторический район,"29.5515, 120.5319"
Озеро п. Асино,Храм,"-48.1249, 57.4273"
Museum of New Felicia,Природный объект,"-34.9433, 70.3846"
Парк г. Москва,Landmark,"14.4794, 129.2747"
Park of West Joannaview,Famous Intersection,"-57.3573, 83.1251"
Lake of Lake Lauraview,Природный объект,"-12.4985, 73.2703"
Lake of Leeshire,Достопримечательность,"-56.0946, -78.4662"
Площадь с. Кыштым,Пляж,"-11.8646, 76.8459"
Lake of Port Markton,Исторический район,"-18.5404, 139.5565"
Castle of Williamston,Храм,"-64.959, 154.1301"
Square of Stevenchester,Nature Reserve,"53.5079, 113.9769"
Замок г. Можайск,Парк,"-25.3614, 113.4278"
Square of South Karenberg,Достопримечательность,"-29.074, 34.1748"
Музей ст. Хатанга,Mountain Peak,"-27.7573, -128.8613"
Museum of North Tylershire,Природный объект,"32.4637, 148.9716"
Гора с. Пушкинские Горы,Парк,"58.7653, 133.3382"
Castle of Port Christopher,Landmark,"32.9827, -37.169"
Castle of West Lisa,Парк,"-18.7763, 13.779"
Музей п. Северодвинск,Public Park,"69.3277, -49.2596"
Castle of Port Andrew,Nature Reserve,"13.0249, -57.292"
Bridge of Ronaldhaven,Горнолыжный курорт,"24.9863, 31.8837"
Замок г. Таганрог,Historic Site,"-33.7154, -38.1239"
Castle of Kathleenbury,Landmark,"-37.7513, -64.4631"
Замок г. Холмогоры,Природный объект,"22.7656, -24.1881"
Square of Joshuamouth,Пляж,"-36.9373, 53.3858"
Замок п. Усть-Илимск,Historic Site,"37.9676, -15.9345"
Lake of Andreaborough,Исторический район,"-5.5646, 112.7264"
Площадь п. Нижнекамск,Парк,"39.34, -80.3372"
Museum of Torresfurt,Historic Site,"-36.5428, 16.8517"
Парк клх Черусти,Nature Reserve,"11.5507, 12.2729"
Музей п. Рубцовск,Храм,"-39.3451, 86.8629"
Square of North Christophermouth,Парк,"-5.2182, 20.2956"
Площадь ст. Ногинск (Моск.),Пляж,"34.824, -60.816"
Замок к. Якша,Исторический район,"20.9254, 9.2938"
Park of Laurenchester,Beach,"22.3471, -157.1663"
Озеро с. Ишим,Public Park,"14.5336, 155.3702"
Castle of Wagnermouth,Nature Reserve,"11.7142, -167.7762"
Озеро п. Североуральск,Landmark,"41.4705, -121.138"
Bridge of New Rebeccafort,Famous Intersection,"-18.6845, 61.1715"
Площадь г. Витим,Исторический район,"30.2387, 168.7561"
Площадь с. Назрань,Парк,"-8.0085, 148.6231"
Museum of Brianland,Landmark,"9.7461, 7.3224"
Square of Lake Brendanfurt,Beach,"2.9071, -48.0038"
Park of Lake Lisa,Исторический район,"-24.6947, 44.7537"
Museum of Lewisland,Beach,"-45.909, 29.0142"
Bridge of Villanuevafurt,Парк,"-1.7995, 124.2345"
Lake of New Reginashire,Mountain Peak,"-5.4907, 86.3855"
Bridge of New Jamiefort,Famous Intersection,"-2.0522, 155.9306"
Bridge of Moraleshaven,Famous Intersection,"-32.9488, 118.2348"
Парк ст. Щельяюр,Парк,"33.3991, 149.0168"
Гора к. Кяхта,Музей,"25.1387, -33.8342"
Square of Angelaside,Historic Site,"50.8079, 24.2898"
Park of Ashleyville,Mountain Peak,"-62.048, -105.9792"
Lake of Lake Angela,Public Park,"47.8556, -11.6988"
Park of Rodriguezberg,Famous Intersection,"30.9526, 157.7321"
Square of North Richard,Landmark,"26.8116, 107.8899"
Park of North Rickyborough,Beach,"41.9231, -87.8799"
Square of New Louis,Museum,"29.7275, -10.0406"
Bridge of Heidiview,Landmark,"-57.4642, -129.3978"
Площадь к. Руза,Храм,"-31.9644, -115.1447"
Lake of Port Collin,Храм,"37.3866, 37.6077"
Музей ст. Кулу,Famous Intersection,"43.6621, -123.0004"
Park of Port Christine,Музей,"8.6012, -85.3116"
Парк д. Кинешма,Пляж,"11.6569, 42.6463"
Bridge of Lake Maryfurt,Горнолыжный курорт,"-30.6592, 91.4967"
Замок ст. Ишим,Музей,"15.7734, -56.6236"
Bridge of Port Wesleyland,Пляж,"-23.5693, 146.1428"
Lake of Ryanburgh,Famous Intersection,"-10.9027, 41.5398"
Озеро г. Балашиха,Природный объект,"24.9266, -154.5073"
Площадь клх Теберда,Beach,"-11.8641, 35.9617"
Museum of Davisville,Храм,"29.4928, -50.1887"
Park of Simsville,Музей,"-61.129, 56.3435"
Lake of Rileymouth,Mountain Peak,"-25.476, 158.3565"
Castle of Jenniferville,Museum,"-41.0048, -51.1591"
Музей с. Орехово-Зуево,Храм,"65.9172, -116.5628"
Square of Bethborough,Historic Site,"-19.0577, 147.4552"
Bridge of Edwardsfort,Museum,"-35.3336, 59.2993"
Озеро клх Ишим,Музей,"5.8983, -111.4292"
Озеро г. Моздок,Mountain Peak,"-52.4484, -57.6176"
Парк г. Верхний Баскунчак,Горнолыжный курорт,"37.3232, -122.3365"
Bridge of West Mary,Museum,"-4.8707, -103.4424"
Lake of North Roberttown,Достопримечательность,"-45.5499, -51.8158"
Castle of Perezbury,Historic Site,"54.5434, 130.0426"
Castle of South Steven,Пляж,"53.2894, 26.2626"
Castle of Port James,Historic Site,"37.1484, -25.4143"
Музей п. Вилюйск,Горнолыжный курорт,"-18.6924, 0.285"
Гора п. Бодайбо,Парк,"35.0212, -46.8132"
Castle of Warrenland,Природный объект,"-17.6212, 104.2309"
Castle of Michaeltown,Природный объект,"19.9569, 12.6899"
Square of North Kristinland,Landmark,"-64.4766, -149.3913"
Гора д. Кириши,Mountain Peak,"-42.8799, -39.4966"
Park of Hensleyfurt,Nature Reserve,"59.2621, 74.9258"
Площадь п. Россошь,Храм,"61.1126, 128.0109"
Park of North Maryfurt,Public Park,"-44.205, -164.7392"
Гора п. Волгоград,Достопримечательность,"61.1939, -42.2974"
Castle of West Toniport,Музей,"-42.7521, -5.7371"
Музей с. Калининград,Горнолыжный курорт,"-66.2243, 160.1465"
Lake of Barrettshire,Mountain Peak,"11.6503, 6.7892"
Bridge of Ryanmouth,Парк,"50.9474, 35.9402"
Lake of Wendyland,Historic Site,"-9.4396, -62.2121"
Square of Williehaven,Пляж,"-39.7528, 24.3873"
Lake of Jennifermouth,Nature Reserve,"64.0158, 142.8703"
Park of Hicksmouth,Исторический район,"69.6488, 133.8469"
Гора п. Тулун,Beach,"9.4056, 121.5393"
Парк ст. Сусуман,Исторический район,"50.427, -27.7117"
Square of East Jay,Historic Site,"-36.9665, -32.561"
Замок клх Уренгой,Парк,"69.0245, 135.2762"
Park of New Tylermouth,Nature Reserve,"-69.9971, 39.0554"
Museum of Robertobury,Beach,"-33.4953, -94.1036"
Museum of Port Paulland,Famous Intersection,"-13.9128, 141.9683"
Озеро ст. Тутаев,Museum,"-62.7557, -100.8633"
Bridge of North Pamela,Historic Site,"50.1833, 38.1219"
Замок ст. Щелково,Музей,"-66.53, 158.492"
Lake of West Phillipbury,Достопримечательность,"-33.5999, 68.2771"
Парк клх Глазов,Famous Intersection,"36.5851, -67.6739"
Park of West Jessica,Музей,"69.9268, -128.1345"
Площадь к. Сальск,Public Park,"10.8581, 131.894"
Square of North Julie,Парк,"33.8772, 169.9772"
Castle of South Charlotte,Nature Reserve,"-24.3857, 84.2306"
Park of Martinezview,Пляж,"-31.0934, 161.0708"
Парк к. Новая Игирма,Горнолыжный курорт,"50.4781, -37.8139"
Озеро с. Усмань,Парк,"-21.8743, 80.3074"
Castle of Christensenmouth,Музей,"33.6614, 137.2468"
Bridge of North Lori,Пляж,"-31.9831, -6.4725"
Square of West Tracy,Пляж,"31.8419, 38.024"
Музей д. Нарткала,Достопримечательность,"-17.9902, 9.4656"
Castle of New William,Landmark,"3.4703, -33.4934"
Castle of Pamelabury,Горнолыжный курорт,"-35.3133, -80.4728"
Square of Port Moniqueland,Пляж,"-33.8604, 142.9511"
Castle of Smithland,Mountain Peak,"-35.6246, 146.9887"
Bridge of East Philipmouth,Исторический район,"23.2769, -50.8681"
Lake of West Maria,Historic Site,"-50.6837, -32.856"
Park of Campbellchester,Museum,"-52.4597, -122.5154"
Гора клх Новый Уренгой,Public Park,"-45.8054, -28.9613"
Гора к. Аргаяш,Пляж,"20.9585, -135.5017"
Гора клх Терней,Museum,"29.8378, 15.8108"
Square of Kelleymouth,Природный объект,"-26.6761, -57.1"
Парк д. Киржач,Historic Site,"-23.4803, -139.5844"
Castle of Kiddhaven,Beach,"-15.7209, 133.6258"
Bridge of Wangfurt,Museum,"68.1526, 128.714"
Парк д. Кировск (Ленин.),Природный объект,"10.6635, -88.953"
Castle of Lake Jaime,Nature Reserve,"32.2969, -95.0551"
Castle of Griffithstad,Mountain Peak,"-11.1945, 47.3349"
Озеро д. Аргаяш,Mountain Peak,"-64.9363, -21.4759"
Bridge of Malonefurt,Храм,"61.0764, 83.4835"
Гора с. Киржач,Museum,"58.2924, 130.653"
Парк д. Южно-Сахалинск,Famous Intersection,"34.5336, -29.6747"
Park of Moralesborough,Landmark,"-14.3627, -85.6251"
Гора д. Калининград,Museum,"-39.1034, -112.9039"
Lake of East Emma,Достопримечательность,"-40.3056, -112.4307"
Bridge of Robertshire,Достопримечательность,"-35.2275, -102.3172"
Замок ст. Кирово-Чепецк,Landmark,"-47.5244, -55.4535"
Square of Mathewsport,Museum,"-39.5187, 70.2825"
Парк г. Тымовское,Beach,"-20.3188, -37.8874"
Lake of Martinezchester,Горнолыжный курорт,"-38.2252, 4.0384"
Музей с. Воронеж,Природный объект,"51.9539, -35.1226"
Lake of North Ralph,Famous Intersection,"-47.2576, -103.0624"
Замок д. Яхрома,Museum,"27.994, 142.8861"
Площадь ст. Переславль-Залесский,Museum,"-64.7669, 110.8895"
Гора п. Алексин,Парк,"-7.4776, -116.0826"
Bridge of New Laurie,Парк,"54.5918, -80.4305"
Museum of Jamesborough,Historic Site,"62.1045, 6.161"
Замок ст. Шамары,Музей,"-55.5039, 89.9802"
Square of Chadport,Historic Site,"-2.0392, 46.9564"
Castle of New Adam,Famous Intersection,"25.6568, 129.1758"
Museum of Carolynville,Пляж,"-48.8682, 118.8489"
Lake of Nicolemouth,Mountain Peak,"-25.5615, -110.1651"
Bridge of New Andrew,Пляж,"-20.5032, 108.5549"
Park of Navarrotown,Горнолыжный курорт,"-44.1166, 7.2815"
Bridge of Reyesland,Горнолыжный курорт,"39.1673, -22.0925"
Castle of North Ericchester,Достопримечательность,"50.3193, 2.6218"
Museum of Manuelmouth,Природный объект,"66.4471, 47.0401"
Гора п. Троицк (Челяб.),Природный объект,"-24.1849, -122.5116"
