trip_id,origin,destination,order_index
23150,Мюнхен,Вена,1
10806,Краснодар,Сочи,1
37668,London,Edinburgh,1
37104,New York,Los Angeles,1
5689,Лондон (LHR),Нью-Йорк (JFK),1
32290,London,Edinburgh,1
30910,Стамбул (IST),Афины (ATH),1
48604,Сингапур (SIN),Бали (DPS),1
9455,Chicago,Miami,1
15320,Мадрид (MAD),Барселона,1
48418,Москва (SVO),Париж (CDG),1
20371,New York,Los Angeles,1
18872,Rome,Milan,1
4586,Москва (SVO),Париж (CDG),1
37952,Дубай (DXB),Бангкок (BKK),1
48530,Сингапур (SIN),Бали (DPS),1
37255,Стамбул (IST),Афины (ATH),1
44377,Лондон (LHR),Нью-Йорк (JFK),1
48176,Екатеринбург,Казань,1
11959,Rome,Milan,1
26055,Екатеринбург,Казань,1
31664,Стамбул (IST),Афины (ATH),1
35937,New York,Los Angeles,1
1759,Москва,Санкт-Петербург,1
9673,Краснодар,Сочи,1
47193,Москва,Санкт-Петербург,1
39804,Paris,Lyon,1
45859,Rome,Milan,1
37781,Берлин (BER),Амстердам (AMS),1
11017,Париж (CDG),Рим (FCO),1
38320,Дубай (DXB),Бангкок (BKK),1
36197,Екатеринбург,Казань,1
5639,Екатеринбург,Казань,1
14707,Новосибирск,Горно-Алтайск,1
28313,New York,Los Angeles,1
27356,Chicago,Miami,1
1967,Дубай (DXB),Бангкок (BKK),1
26220,Дубай (DXB),Бангкок (BKK),1
49973,Берлин (BER),Амстердам (AMS),1
33665,Мадрид (MAD),Барселона,1
31192,Мадрид (MAD),Барселона,1
1559,Chicago,Miami,1
33576,Екатеринбург,Казань,1
12716,Берлин (BER),Амстердам (AMS),1
28689,Мадрид (MAD),Барселона,1
45206,Chicago,Miami,1
14424,Краснодар,Сочи,1
31125,Paris,Lyon,1
830,Frankfurt,Hamburg,1
22216,Chicago,Miami,1
34323,Токио (HND),Сеул (ICN),1
33163,Токио (HND),Сеул (ICN),1
36974,Стамбул (IST),Афины (ATH),1
8684,Дубай (DXB),Бангкок (BKK),1
5818,New York,Los Angeles,1
12648,New York,Los Angeles,1
37930,Paris,Lyon,1
11869,Chicago,Miami,1
36900,Rome,Milan,1
24373,Токио (HND),Сеул (ICN),1
39574,Берлин (BER),Амстердам (AMS),1
10604,Frankfurt,Hamburg,1
29426,Frankfurt,Hamburg,1
2370,Новосибирск,Горно-Алтайск,1
9334,Мадрид (MAD),Барселона,1
13911,Париж (CDG),Рим (FCO),1
11415,Москва (SVO),Париж (CDG),1
26380,Chicago,Miami,1
36856,Лондон (LHR),Нью-Йорк (JFK),1
18980,Стамбул (IST),Афины (ATH),1
10095,Rome,Milan,1
14774,Мадрид (MAD),Барселона,1
2730,Frankfurt,Hamburg,1
7846,Дубай (DXB),Бангкок (BKK),1
40273,Мюнхен,Вена,1
48590,New York,Los Angeles,1
44836,Стамбул (IST),Афины (ATH),1
8741,Стамбул (IST),Афины (ATH),1
36980,Екатеринбург,Казань,1
3632,New York,Los Angeles,1
46174,Токио (HND),Сеул (ICN),1
48042,Токио (HND),Сеул (ICN),1
18593,Екатеринбург,Казань,1
41160,Мадрид (MAD),Барселона,1
33634,Rome,Milan,1
10850,Chicago,Miami,1
38021,Сингапур (SIN),Бали (DPS),1
22913,New York,Los Angeles,1
42401,Rome,Milan,1
36789,London,Edinburgh,1
1675,Берлин (BER),Амстердам (AMS),1
26273,New York,Los Angeles,1
9910,Париж (CDG),Рим (FCO),1
26094,Париж (CDG),Рим (FCO),1
39484,Екатеринбург,Казань,1
28749,Лондон (LHR),Нью-Йорк (JFK),1
16321,London,Edinburgh,1
36223,Мюнхен,Вена,1
8398,Берлин (BER),Амстердам (AMS),1
6775,Rome,Milan,1
7156,Париж (CDG),Рим (FCO),1
951,Берлин (BER),Амстердам (AMS),1
13481,New York,Los Angeles,1
41018,Paris,Lyon,1
5839,Лондон (LHR),Нью-Йорк (JFK),1
8346,Лондон (LHR),Нью-Йорк (JFK),1
8590,Екатеринбург,Казань,1
26849,Токио (HND),Сеул (ICN),1
10994,Берлин (BER),Амстердам (AMS),1
32089,Сингапур (SIN),Бали (DPS),1
21571,Мадрид (MAD),Барселона,1
17104,London,Edinburgh,1
15190,Frankfurt,Hamburg,1
37327,Мадрид (MAD),Барселона,1
28526,Paris,Lyon,1
14526,Москва (SVO),Париж (CDG),1
26979,Москва,Санкт-Петербург,1
7474,Москва,Санкт-Петербург,1
6326,Стамбул (IST),Афины (ATH),1
40985,Frankfurt,Hamburg,1
6377,Екатеринбург,Казань,1
30434,New York,Los Angeles,1
11106,Краснодар,Сочи,1
47018,Краснодар,Сочи,1
8490,Дубай (DXB),Бангкок (BKK),1
9901,Париж (CDG),Рим (FCO),1
21337,New York,Los Angeles,1
34386,London,Edinburgh,1
47989,London,Edinburgh,1
48973,Rome,Milan,1
7786,Frankfurt,Hamburg,1
24228,Москва,Санкт-Петербург,1
42162,Новосибирск,Горно-Алтайск,1
33607,Париж (CDG),Рим (FCO),1
2826,Краснодар,Сочи,1
25755,Москва,Санкт-Петербург,1
31883,Дубай (DXB),Бангкок (BKK),1
32100,London,Edinburgh,1
19657,Сингапур (SIN),Бали (DPS),1
43212,Paris,Lyon,1
46393,Дубай (DXB),Бангкок (BKK),1
38899,Chicago,Miami,1
42593,Москва,Санкт-Петербург,1
21421,Москва (SVO),Париж (CDG),1
686,Chicago,Miami,1
869,Лондон (LHR),Нью-Йорк (JFK),1
49559,Мадрид (MAD),Барселона,1
32872,Chicago,Miami,1
10384,Париж (CDG),Рим (FCO),1
11213,Париж (CDG),Рим (FCO),1
47241,Новосибирск,Горно-Алтайск,1
29272,Chicago,Miami,1
13041,Rome,Milan,1
30404,Москва (SVO),Париж (CDG),1
37176,Москва,Санкт-Петербург,1
34726,Сингапур (SIN),Бали (DPS),1
26365,Frankfurt,Hamburg,1
25870,Стамбул (IST),Афины (ATH),1
41764,Мадрид (MAD),Барселона,1
19872,Chicago,Miami,1
16877,Новосибирск,Горно-Алтайск,1
22467,Chicago,Miami,1
40590,Краснодар,Сочи,1
6922,Новосибирск,Горно-Алтайск,1
31274,Мадрид (MAD),Барселона,1
26449,Екатеринбург,Казань,1
37210,Лондон (LHR),Нью-Йорк (JFK),1
35827,Мадрид (MAD),Барселона,1
10431,Мадрид (MAD),Барселона,1
48312,Париж (CDG),Рим (FCO),1
24090,Париж (CDG),Рим (FCO),1
31779,Стамбул (IST),Афины (ATH),1
44835,Токио (HND),Сеул (ICN),1
26633,Дубай (DXB),Бангкок (BKK),1
9554,Дубай (DXB),Бангкок (BKK),1
10973,Новосибирск,Горно-Алтайск,1
15428,Екатеринбург,Казань,1
27177,Лондон (LHR),Нью-Йорк (JFK),1
2830,Сингапур (SIN),Бали (DPS),1
12460,Париж (CDG),Рим (FCO),1
30209,Токио (HND),Сеул (ICN),1
3018,Краснодар,Сочи,1
7471,Paris,Lyon,1
37919,Токио (HND),Сеул (ICN),1
22614,Мюнхен,Вена,1
39819,Лондон (LHR),Нью-Йорк (JFK),1
45656,Москва,Санкт-Петербург,1
29727,New York,Los Angeles,1
41855,Москва (SVO),Париж (CDG),1
35124,Париж (CDG),Рим (FCO),1
33624,Новосибирск,Горно-Алтайск,1
8785,Москва,Санкт-Петербург,1
35243,Стамбул (IST),Афины (ATH),1
772,Екатеринбург,Казань,1
15677,London,Edinburgh,1
47172,Мадрид (MAD),Барселона,1
19877,Токио (HND),Сеул (ICN),1
7806,Краснодар,Сочи,1
30616,Сингапур (SIN),Бали (DPS),1
24625,Токио (HND),Сеул (ICN),1
30295,Новосибирск,Горно-Алтайск,1
38550,Стамбул (IST),Афины (ATH),1
29484,New York,Los Angeles,1
5329,Новосибирск,Горно-Алтайск,1
17676,Мюнхен,Вена,1
45395,London,Edinburgh,1
3322,Сингапур (SIN),Бали (DPS),1
8219,New York,Los Angeles,1
23793,Москва,Санкт-Петербург,1
34788,Новосибирск,Горно-Алтайск,1
20973,Frankfurt,Hamburg,1
6550,Лондон (LHR),Нью-Йорк (JFK),1
24810,Краснодар,Сочи,1
40605,Стамбул (IST),Афины (ATH),1
33750,Мюнхен,Вена,1
39756,Rome,Milan,1
28328,Берлин (BER),Амстердам (AMS),1
22894,Мюнхен,Вена,1
7067,Париж (CDG),Рим (FCO),1
23730,Rome,Milan,1
15734,Дубай (DXB),Бангкок (BKK),1
19931,Paris,Lyon,1
33834,New York,Los Angeles,1
8538,Токио (HND),Сеул (ICN),1
31838,Дубай (DXB),Бангкок (BKK),1
43191,Новосибирск,Горно-Алтайск,1
9284,Стамбул (IST),Афины (ATH),1
40875,Frankfurt,Hamburg,1
16808,Frankfurt,Hamburg,1
35986,Стамбул (IST),Афины (ATH),1
43730,Rome,Milan,1
6630,Мюнхен,Вена,1
28049,Chicago,Miami,1
35689,Мадрид (MAD),Барселона,1
13397,Дубай (DXB),Бангкок (BKK),1
40505,Rome,Milan,1
41634,Москва (SVO),Париж (CDG),1
37116,Москва (SVO),Париж (CDG),1
744,Москва (SVO),Париж (CDG),1
11548,Берлин (BER),Амстердам (AMS),1
32486,Frankfurt,Hamburg,1
47650,Rome,Milan,1
20387,Мюнхен,Вена,1
25318,Мюнхен,Вена,1
35882,Мюнхен,Вена,1
15099,Новосибирск,Горно-Алтайск,1
48636,New York,Los Angeles,1
18752,Новосибирск,Горно-Алтайск,1
30928,Москва,Санкт-Петербург,1
5685,Берлин (BER),Амстердам (AMS),1
22641,Екатеринбург,Казань,1
27633,Chicago,Miami,1
41860,Стамбул (IST),Афины (ATH),1
9455,Rome,Milan,2
9051,Новосибирск,Горно-Алтайск,1
17304,Мюнхен,Вена,1
13587,Paris,Lyon,1
27837,New York,Los Angeles,1
37140,London,Edinburgh,1
29838,Париж (CDG),Рим (FCO),1
19240,Новосибирск,Горно-Алтайск,1
20782,Chicago,Miami,1
2091,Мадрид (MAD),Барселона,1
6255,London,Edinburgh,1
